transaction_id,company_id,product_id,date,value_date,amount,exchange_rate,status,accounting_status,category,description,counterparty_id
031b6af5e65957a71747a25f819ee269,COMP_0194,PRODUCT_00121,2025-02-15 00:00:00,2025-02-15 00:00:00,-12,1,booked,RECONCILIATION_COMPLETED,interest_charge,LIQUIDACION DE INTERESES-COMISIONES-GASTOS,
03a15fa458d766b1352ca54a9578cdcc,COMP_1062,PRODUCT_02914,2026-08-01 00:00:00,2026-07-27 00:00:00,371,1,booked,RECONCILIATION_COMPLETED,payment_refund,PAGO DEVOLUCION,COUNTERPARTY_00001
2487f735eaf4598a19c1b79f5e35ae1f,COMP_1149,PRODUCT_00693,2026-01-15 00:00:00,2026-01-15 00:00:00,73.6,1,booked,,payment_refund,DEVOLUCION COMPRA COUNTERPARTY_18137 COUNTERPARTY_01442 Madrid,
2969ff9d3806cc44558657852b7429ae,COMP_0870,PRODUCT_06316,2025-09-05 00:00:00,2025-09-05 00:00:00,-994.89,1,booked,PENDING,pos_withdrawal,Tarjeta credito [NAME]- DocNum:[NUM],
33H325402M648612Y,COMP_1086,PRODUCT_04834,2026-04-16 16:39:16,2026-04-16 16:39:16,-194.69,1,booked,,collection_refund,"[REF] [PERSON] [ES] Reembolso de pago, iniciado por el comerciante",
3d07aa18ea486636ae801fa2e0f09fd5,COMP_0708,PRODUCT_04765,2026-07-28 00:00:00,2026-07-28 00:00:00,-478.58,1,booked,,interest_charge,[COMPANY]*[X]9Y ([X]),
3fcaa76853b63e086adb6d9f7aefc39d,COMP_0257,PRODUCT_01178,2025-06-24 00:00:00,2025-06-24 00:00:00,899.02,1,booked,DISCARDED,investment_return,TRANSF/[COMPANY],
42ed36843b9e1bbb08354d62a22d38fe,COMP_0713,PRODUCT_03535,2025-01-17 00:00:00,2025-01-10 00:00:00,-27.32,1,booked,DISCARDED,collection_refund,Impagado recibos domicil. sepa devolucion recibo- DocNum:[NUM],
4a8f00f7b0e3ef8987fb4198689f750a21261b8acb4d9623dce70215befc60a0,COMP_0693,PRODUCT_00107,2025-07-17 00:00:00,2025-07-17 09:46:07,-287.01,1.16,booked,,interest_charge,[2025-07-17] stripe_fee,
53df75fd5f1e4beaa389961624ffc3a4,COMP_0639,PRODUCT_05164,2026-06-21 00:00:00,2026-06-21 00:00:00,-159.74,1,booked,,interest_charge,INTERESES DE [COMPANY]\nPTMO.:[NUM],
