operation_id,company_id,document_type,issuance_date,due_date,payment_date,amount,pending_amount,currency,accounting_currency,exchange_rate,status,concept,counterparty_id
00229f2507386496cf94639ebac785f3,COMP_0556,invoice,2025-11-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,-720,0,SEK,DKK,1.47,paid,Cph tem event,COUNTERPARTY_47797
002966c44ccf446693aaa3ddb659586d,COMP_0915,invoiceGroup,2025-11-07 00:00:00,2025-12-10 00:00:00,2025-12-10 00:00:00,-600,0,EUR,EUR,1,paid,PAGO-[X][NUM],COUNTERPARTY_26837
003a4a819fda8de719e8088de420e683,COMP_0023,invoice,2026-07-13 00:00:00,2026-08-12 00:00:00,2026-08-12 00:00:00,-584.2,0,EUR,EUR,1,paid,Resto Tech summit,COUNTERPARTY_29249
00b6925d868b2a127140d7542b90ccf6,COMP_0416,invoice,2026-07-31 00:00:00,2026-07-31 00:00:00,2026-07-31 00:00:00,-1815,0,EUR,EUR,1,paid,S/Fra. 24032 - REMESA 10996,COUNTERPARTY_43339
00f2f025a0eab5f1987af8d1b3babdad,COMP_0094,invoice,2026-08-01 00:00:00,2026-08-10 00:00:00,2026-08-10 00:00:00,-84.12,0,EUR,EUR,1,paid,FC [NUM] (31/07/26) 18447 F26 515,COUNTERPARTY_12080
01027560da2ef13a6fb68057243fd356,COMP_0932,invoice,2025-09-10 00:00:00,2025-09-10 00:00:00,2025-09-10 00:00:00,-581.24,0,EUR,EUR,1,paid,AG 115529 544,COUNTERPARTY_47798
01f759800c3e0f6673d4eb5f6c58a0e3,COMP_0152,note,2026-02-23 00:00:00,2026-01-28 00:00:00,2026-01-28 00:00:00,-50.82,0,EUR,EUR,1,paid,Abono ABV26-00008. Abono AV26-00009,COUNTERPARTY_03155
02264a20d7d20b071a553920a4c6ee86,COMP_0793,invoice,2025-10-30 00:00:00,2025-11-29 00:00:00,2025-10-30 00:00:00,-1016.56,0,EUR,EUR,1,paid,S.Fra /1630 COUNTERPARTY_47799 Ef [NUM],COUNTERPARTY_47799
0229d9cb1643a0f75bdfc8d6e61b4d6b,COMP_0079,invoice,2024-12-18 00:00:00,2024-12-18 00:00:00,2024-12-18 00:00:00,351.31,0,EUR,EUR,1,paid,MI-[NUM],COUNTERPARTY_06231
022cef13d0b4221225214b2113282bbc,COMP_1043,invoice,2026-04-04 00:00:00,2026-04-19 00:00:00,2026-04-19 00:00:00,-142.2,0,EUR,EUR,1,paid,Factura FC26/08/0016. Factura COUNTERPARTY_11662.,COUNTERPARTY_22753
029b8f2a78bf7e00caad1d7e8a52dc16,COMP_1072,invoice,2025-08-25 00:00:00,2025-08-25 00:00:00,2025-08-31 00:00:00,990.21,0,EUR,EUR,1,paid,FV 044-25LN30 11388 04425LN 30,COUNTERPARTY_47800
029f3a3bb260e2f81b4db9d514443f84,COMP_0314,invoice,2024-10-31 00:00:00,2024-10-31 00:00:00,2024-10-31 00:00:00,-28.51,0,AUD,GBP,1.98,paid,Gastos de vendedor,COUNTERPARTY_41854
